name,url
ECAM Rennes - Louis de Broglie,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecam-rennes-louis-de-broglie-4786.html
Sup'Biotech Villejuif,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-l-ecole-des-experts-en-biotechnologies-69841.html
ESA - Angers,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-agricultures-5332.html
ISEN - Marseille - Toulon (Yncréa Méditerranée),https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-superieur-de-l-electronique-et-du-numerique-de-marseille-83084.html
ESTIA - Bidart,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-des-technologies-industrielles-avancees-6064.html
CPE - Lyon,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-de-chimie-physique-electronique-de-lyon-6366.html
ECE - Paris - Lyon - Bordeaux,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ece-paris-6870.html
IMT Mines Alès,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-d-ales-4353.html
